03/08/2016,11/11/2016,03/10/2016,Corning Incorporated,Union City,193,Closure Permanent
03/01/2016,05/06/2016,03/11/2016,Pacific Bell Telephone Company,Tustin,3,Layoff Permanent
03/10/2016,05/13/2016,03/11/2016,"Carbine, LLC",Aliso Viejo,18,Layoff Unknown at this time
03/10/2016,03/11/2016,03/14/2016,"NC Interactive, LLC",Aliso Viejo,11,Layoff Permanent
03/12/2016,04/10/2016,03/14/2016,"GMRI, Inc. dba Seasons 52",Santa Monica,70,Closure Permanent
03/15/2016,05/15/5016,03/15/2016,Georgia-Pacific Gypsum LLC,San Leandro,65,Closure Permanent
03/14/2016,05/27/2016,03/17/2016,"Yamashiro, Inc.",Los Angeles,88,Closure Permanent
02/29/2016,01/01/2016,03/18/2016,"Alma Farms, LLC",Camarillo,73,Closure Permanent
03/14/2016,03/31/2016,03/18/2016,McKesson Corporation,San Francisco,158,Layoff Permanent
03/18/2016,05/17/2016,03/21/2016,"Williams-Sonoma, Inc.",San Francisco,17,Layoff Permanent
03/18/2016,05/17/2016,03/21/2016,"Williams-Sonoma, Inc.",San Francisco,30,Layoff Permanent
03/18/2016,05/17/2016,03/21/2016,"Williams-Sonoma, Inc.",San Francisco,22,Layoff Permanent
03/18/2016,05/17/2016,03/21/2016,"Williams-Sonoma, Inc.",San Francisco,5,Layoff Permanent
03/18/2016,05/17/2016,03/21/2016,"Williams-Sonoma, Inc.",Richmond,1,Layoff Permanent
03/18/2016,05/17/2016,03/21/2016,"Williams-Sonoma, Inc.",Brisbane,3,Layoff Permanent
03/18/2016,05/18/2016,03/21/2016,"Collection Technology, Inc.",Monterey Park,4,Closure Permanent
03/18/2016,05/18/2016,03/21/2016,"Collection Technology, Inc.",Rancho,51,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,San Diego,35,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,San Diego,1,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,San Diego,1,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,San Diego,1,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,San Diego,1,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,San Diego,16,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,San Diego,1,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,La Mesa,1,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,San Diego,1,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,Encinitas,1,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,Encinitas,2,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,La Jolla,4,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,La Jolla,3,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,Chula Vista,1,Layoff Permanent
03/03/2016,06/30/2016,03/22/2016,"TransitAmerica Services, Inc.",Camp Pendleton,30,Layoff Permanent
03/21/2016,05/22/2016,03/22/2016,"Paris Precision, LLC",Paso Robles,130,Layoff Unknown at this time
03/22/2016,03/22/2016,03/22/2016,ZETA Communities,Mcclellan,122,Closure Permanent
03/15/2016,03/10/2016,03/23/2016,"Mycom North America, Inc.",Santa Fe Springs,138,Closure Permanent
03/18/2016,05/20/2016,03/23/2016,Boeing Company,Huntington Beach,23,Layoff Unknown at this time
03/18/2016,05/20/2016,03/23/2016,Boeing Company,El Segundo,26,Layoff Unknown at this time
03/21/2016,05/27/2016,03/23/2016,"Rockwell Collins, Inc.",Poway,2,Layoff Unknown at this time
